	pnns_groups_1	pnns_groups_2	nutrition_score_fr_100g	nutrition_grade_fr	carbohydrates_100g	fat_100g	energy_100g	sugars_100g	saturated_fat_100g	sodium_100g	fiber_100g	proteins_100g
243295	Milk and dairy products	Cheese	45.45454545454545	c	0.5	30.5	43.5945945945946	0.5	19.5	0.177165354330709	0.0	28.0
243297	Composite foods	One dish meals	16.363636363636367	a	8.1	7.2	15.972972972972974	0.5	0.9	0.306299212598425	4.6	8.8
243299	Sugary snacks	Sweets	45.45454545454545	c	61.0	0.3	28.891891891891895	57.8	0.3	0.0039370078740157	1.6	0.5
243302	Cereals and potatoes	Cereals	20.0	a	82.0	2.5	44.86486486486487	1.0	0.5	0.12	3.0	8.5
243303	Sugary snacks	Chocolate products	69.0909090909091	e	46.0	39.0	64.81081081081082	45.0	24.0	0.0996062992125984	3.4	8.6
243304	Fat and sauces	Dressings and sauces	41.81818181818182	c	6.5	12.5	20.18918918918919	1.7	0.9	2.46062992125984	3.5	7.5
243305	Beverages	Fruit juices	41.81818181818182	d	17.8	0.1	8.378378378378379	11.3	0.0	0.00197	0.3	0.1
243306	Cereals and potatoes	Breakfast cereals	50.90909090909091	d	58.7	17.2	49.10810810810811	28.6	7.7	0.0090551181102362	6.9	7.5
243307	Cereals and potatoes	Breakfast cereals	50.90909090909091	d	65.0	14.0	50.0	24.0	8.5	0.025	8.5	9.5
243309	Beverages	Fruit juices	36.36363636363636	c	11.0	0.1	5.1891891891891895	11.0	0.0	0.0039370078740157	0.0	0.1
243310	Beverages	Fruit juices	34.54545454545455	c	10.5	0.1	5.135135135135135	10.0	0.0	0.0039370078740157	0.1	0.4
243311	Sugary snacks	Biscuits and cakes	60.0	d	61.0	26.0	58.10810810810811	20.0	12.0	0.168	2.5	7.5
243312	Sugary snacks	Biscuits and cakes	65.45454545454545	e	66.0	22.0	56.48648648648649	19.0	14.0	0.325	2.0	8.0
243313	Sugary snacks	Biscuits and cakes	58.18181818181818	d	66.0	20.0	54.86486486486487	19.0	9.5	0.339	4.0	8.0
243315	Fruits and vegetables	Fruits	14.545454545454547	a	2.5	0.3	2.2432432432432434	2.2	0.1	0.0039370078740157	2.0	0.8
243323	Sugary snacks	Biscuits and cakes	63.63636363636363	e	59.9	29.3	60.37837837837838	28.2	14.8	0.163385826771654	2.4	6.6
243324	Sugary snacks	Biscuits and cakes	63.63636363636363	e	59.9	25.4	57.351351351351354	26.9	13.6	0.25	2.8	8.3
243325	Sugary snacks	Biscuits and cakes	56.36363636363636	d	62.3	21.7	54.972972972972975	27.0	9.9	0.127952755905512	5.3	7.6
243326	Sugary snacks	Biscuits and cakes	67.27272727272728	e	62.0	26.0	58.351351351351354	33.7	13.9	0.194094488188976	2.4	7.3
243327	Sugary snacks	Biscuits and cakes	65.45454545454545	e	62.2	23.5	56.270270270270274	32.6	12.2	0.18740157480315	3.4	7.5
243329	Cereals and potatoes	Bread	25.454545454545457	a	73.1	5.4	45.13513513513514	5.4	0.6	0.448818897637795	5.3	10.9
243330	Cereals and potatoes	Bread	25.454545454545457	a	72.0	4.2	44.02702702702703	4.4	0.5	0.535433070866142	7.2	11.3
243332	Cereals and potatoes	Cereals	25.454545454545457	a	77.0	1.0	39.351351351351354	0.0	0.3	0.01	1.4	6.6
243333	Cereals and potatoes	Cereals	27.272727272727273	b	78.0	1.0	40.54054054054054	0.0	0.0	0.0	0.0	8.0
243334	Cereals and potatoes	Cereals	27.272727272727273	b	77.0	0.5	39.45945945945946	0.3	0.2	0.05	0.5	7.0
243335	Cereals and potatoes	Cereals	18.181818181818183	a	70.0	1.5	40.54054054054054	3.5	0.0	0.1	8.5	11.0
243336	Cereals and potatoes	Cereals	16.363636363636367	a	70.2	1.3	40.75675675675676	0.4	0.1	0.00906	8.4	11.7
243337	Fat and sauces	Dressings and sauces	32.72727272727273	c	6.6	6.3	10.594594594594595	5.0	1.0	0.425196850393701	2.4	1.6
243338	Fat and sauces	Dressings and sauces	36.36363636363636	c	7.5	2.3	6.756756756756757	4.8	0.3	0.693	2.3	1.1
243339	Fat and sauces	Dressings and sauces	29.09090909090909	b	7.0	4.0	9.837837837837839	4.2	1.8	0.393700787401575	1.5	5.0
243340	Fat and sauces	Dressings and sauces	47.27272727272727	d	23.0	0.0	11.621621621621623	12.0	0.0	0.883	1.0	2.0
243342	Beverages	Sweetened beverages	63.63636363636363	e	84.0	0.0	38.64864864864865	84.0	0.0	0.004	0.0	0.0
243343	Cereals and potatoes	Cereals	30.90909090909091	b	15.1	1.7	10.27027027027027	4.2	0.2	0.405511811023622	1.6	2.8
243344	Cereals and potatoes	Cereals	14.545454545454547	a	51.4	1.5	30.675675675675677	2.1	0.4	0.0204724409448819	4.0	9.6
243346	Fruits and vegetables	Vegetables	5.454545454545457	a	10.0	0.0	7.351351351351352	1.0	0.0	0.01	5.0	4.0
243353	Cereals and potatoes	Bread	30.90909090909091	b	50.1	6.1	33.2972972972973	5.9	0.6	0.574803149606299	3.4	7.5
243354	Cereals and potatoes	Bread	27.272727272727273	b	50.0	0.5	28.37837837837838	2.0	0.0	0.551	3.5	9.0
243355	Sugary snacks	Biscuits and cakes	60.0	d	70.0	14.0	49.45945945945946	40.0	10.0	0.053	3.5	5.5
243356	Milk and dairy products	Milk and yogurt	27.272727272727273	b	4.1	3.4	7.081081081081082	4.1	2.1	0.0393700787401575	0.0	3.9
243358	Milk and dairy products	Milk and yogurt	32.72727272727273	c	10.0	6.3	13.18918918918919	8.9	4.3	0.0393700787401575	0.0	5.0
243359	Milk and dairy products	Milk and yogurt	30.90909090909091	b	15.2	3.2	11.756756756756758	12.0	2.0	0.0552	0.0	3.6
243360	Milk and dairy products	Milk and yogurt	30.90909090909091	b	12.0	3.1	10.324324324324325	12.0	1.9	0.0393700787401575	0.0	3.7
243363	Milk and dairy products	Dairy desserts	36.36363636363636	c	17.8	3.5	12.91891891891892	16.4	2.3	0.0393700787401575	0.0	2.7
243368	Milk and dairy products	Milk and yogurt	30.90909090909091	b	13.0	2.7	10.27027027027027	12.6	1.6	0.0295275590551181	0.0	3.5
243369	Fruits and vegetables	Vegetables	14.545454545454547	a	8.1	0.5	5.081081081081082	7.6	0.5	0.0255905511811024	2.0	2.0
243371	Fruits and vegetables	Fruits	18.181818181818183	a	12.0	0.3	6.405405405405406	11.0	0.0	0.0039370078740157	2.1	0.3
243372	Fruits and vegetables	Soups	29.09090909090909	b	1.5	1.0	2.5675675675675675	1.5	0.2	0.215	1.0	1.5
243375	Milk and dairy products	Cheese	41.81818181818182	c	1.0	17.0	25.72972972972973	1.0	12.0	0.147637795275591	0.0	18.0
243376	Milk and dairy products	Cheese	29.09090909090909	b	11.0	2.6	10.297297297297298	11.0	1.9	0.031496062992126	0.0	5.9
243378	Cereals and potatoes	Breakfast cereals	25.454545454545457	a	59.0	8.5	42.7027027027027	18.0	3.0	0.004	11.0	10.0
243382	Fruits and vegetables	Vegetables	7.272727272727273	a	4.0	0.0	3.5135135135135136	1.0	0.0	0.01	4.0	2.0
243384	Fruits and vegetables	Fruits	18.181818181818183	a	11.5	0.1	5.972972972972974	11.0	0.1	0.0011811023622047	1.7	0.5
243385	Fat and sauces	Fats	45.45454545454545	c	0.0	58.0	58.10810810810811	0.0	15.0	0.16	0.0	0.0
243387	Sugary snacks	Biscuits and cakes	54.54545454545455	d	55.0	22.0	50.45945945945946	31.0	2.1	0.275590551181102	1.1	6.4
243388	Fruits and vegetables	Vegetables	7.272727272727273	a	57.0	1.0	42.16216216216216	1.0	0.1	0.0196850393700787	10.4	28.0
243390	Salty snacks	Appetizers	41.81818181818182	c	51.0	36.0	62.70270270270271	0.5	3.5	0.43	5.0	5.0
243391	Salty snacks	Appetizers	41.81818181818182	c	49.0	37.3	62.24324324324325	0.1	3.5	0.425196850393701	4.2	3.3
243392	Fruits and vegetables	Fruits	18.181818181818183	a	11.0	0.5	6.621621621621622	11.0	0.1	0.0031496062992126	1.8	0.5
243393	Milk and dairy products	Ice cream	40.0	c	23.2	7.5	20.54054054054054	20.3	4.9	0.0590551181102362	0.4	5.0
243394	Milk and dairy products	Milk and yogurt	34.54545454545455	c	13.0	6.0	14.324324324324325	10.0	4.5	0.04	1.0	4.5
243398	Milk and dairy products	Cheese	49.09090909090909	d	0.5	21.0	29.72972972972973	0.5	15.0	0.444881889763779	0.0	19.0
243399	Cereals and potatoes	Cereals	10.90909090909091	a	12.0	2.5	10.27027027027027	4.0	0.2	0.17	4.5	3.0
243402	Salty snacks	Appetizers	45.45454545454545	c	50.1	19.6	51.48648648648649	3.0	2.8	0.728346456692913	10.2	14.5
243403	Composite foods	Pizza pies and quiche	30.90909090909091	b	30.0	6.8	25.405405405405407	4.7	3.9	0.37007874015748	2.8	9.2
243404	Sugary snacks	Biscuits and cakes	72.72727272727272	e	46.4	23.8	48.24324324324325	27.6	15.2	0.528	1.3	6.2
243405	Cereals and potatoes	Bread	38.18181818181818	c	67.0	9.8	46.78378378378379	3.9	1.2	0.47244094488189	5.3	11.0
243406	Beverages	Fruit juices	36.36363636363636	c	11.0	0.0	5.135135135135135	11.0	0.0	0.002	0.0	0.0
243407	Beverages	Fruit juices	34.54545454545455	c	11.7	0.0	5.648648648648649	9.1	0.0	0.0039370078740157	0.0	0.6
243408	Beverages	Fruit juices	38.18181818181818	d	13.4	0.0	6.162162162162162	11.0	0.0	0.0039370078740157	0.0	0.0
243409	Beverages	Fruit juices	38.18181818181818	d	12.0	0.0	5.810810810810811	12.0	0.0	0.002	0.5	0.25
243411	Beverages	Fruit nectars	54.54545454545455	e	12.0	0.0	5.513513513513514	11.0	0.0	0.00394	0.0	0.0
243416	Beverages	Sweetened beverages	23.636363636363637	a	5.5	2.0	6.486486486486487	5.0	0.5	0.045	1.0	3.5
243417	Beverages	Sweetened beverages	23.636363636363637	a	4.3	2.0	5.837837837837839	3.5	0.4	0.0413385826771654	0.7	3.7
243420	Milk and dairy products	Milk and yogurt	27.272727272727273	b	4.8	1.55	5.216216216216217	4.8	0.9	0.05	0.0	3.2
243421	Milk and dairy products	Milk and yogurt	27.272727272727273	b	4.8	1.6	5.27027027027027	4.8	1.0	0.0492125984251968	0.5	3.2
243422	Milk and dairy products	Milk and yogurt	27.272727272727273	b	4.8	0.0	3.621621621621622	4.8	0.0	0.05	0.0	3.2
243423	Milk and dairy products	Milk and yogurt	30.90909090909091	b	4.8	3.6	7.270270270270271	4.8	2.2	0.05	0.0	3.2
243431	Milk and dairy products	Milk and yogurt	50.90909090909091	d	3.5	30.0	33.13513513513514	3.0	20.0	0.031496062992126	0.0	2.3
243432	Milk and dairy products	Milk and yogurt	49.09090909090909	d	6.1	15.0	19.0	3.4	10.5	0.0393700787401575	0.0	2.6
243434	Beverages	Non sugared beverages	21.81818181818182	a	0.9	1.8	4.081081081081082	0.7	0.5	0.0503937007874016	1.0	3.6
243435	Fruits and vegetables	Fruits	20.0	a	15.7	0.4	8.18918918918919	14.4	0.4	0.0019685039370078	1.8	0.4
243438	Composite foods	One dish meals	29.09090909090909	b	4.7	3.8	6.756756756756757	3.3	0.6	0.303149606299213	1.5	1.0
243439	Fruits and vegetables	Fruits	27.272727272727273	b	55.0	0.0	27.2972972972973	40.0	0.0	0.02	5.5	2.0
243440	Fruits and vegetables	Fruits	29.09090909090909	b	50.0	1.5	27.027027027027028	49.0	1.0	0.054	6.5	2.5
243442	Sugary snacks	Sweets	47.27272727272727	d	60.0	0.5	27.37837837837838	58.0	0.1	0.0039370078740157	0.9	0.5
243443	Sugary snacks	Sweets	47.27272727272727	d	59.5	0.2	27.810810810810814	58.0	0.2	0.0031496062992126	1.1	0.5
243446	Milk and dairy products	Cheese	45.45454545454545	c	0.5	30.5	43.5945945945946	0.5	19.5	0.177165354330709	0.0	28.0
243447	Sugary snacks	Chocolate products	70.9090909090909	e	56.0	32.0	61.351351351351354	56.0	19.0	0.089	1.5	7.0
243448	Sugary snacks	Chocolate products	65.45454545454545	e	52.0	32.0	60.2972972972973	49.0	20.0	0.0031496062992126	7.6	6.0
243451	Beverages	Fruit juices	36.36363636363636	c	11.1	0.1	5.4324324324324325	10.7	0.0	0.0039370078740157	0.4	0.3
