	pnns_groups_1	pnns_groups_2	nutrition_score_fr_100g	nutrition_grade_fr	carbohydrates_100g	fat_100g	energy_100g	sugars_100g	saturated_fat_100g	sodium_100g	fiber_100g	proteins_100g
194351	Cereals and potatoes	Breakfast cereals	34.54545454545455	c	88.0	1.0	44.10810810810811	21.0	0.2	0.192913385826772		5.5
194354	Cereals and potatoes	Breakfast cereals	38.18181818181818	c	83.0	2.5	44.10810810810811	24.0	1.5	0.169291338582677		6.5
194356	Cereals and potatoes	Breakfast cereals	23.636363636363637	a			41.0	15.2	1.0	0.118110236220472	7.2	10.8
194357	Cereals and potatoes	Breakfast cereals	40.0	c	80.0	2.5	43.24324324324324	17.9	0.5	0.52	5.0	9.1
194359	Cereals and potatoes	Breakfast cereals	20.0	a	48.0	8.3	45.24324324324325	13.3	0.7	0.0551181102362205		30.0
194361			21.81818181818182	a			44.054054054054056	12.5	1.1	0.015748031496063	12.9	16.3
194362			25.454545454545457	a			49.94594594594595	17.9	1.5	0.0039370078740157	9.1	9.6
194363	Cereals and potatoes	Breakfast cereals	41.81818181818182	c	64.0	19.0	52.83783783783784	17.0	5.1	0.0039370078740157		7.1
194364	Cereals and potatoes	Breakfast cereals	41.81818181818182	c	58.5		53.351351351351354	18.0	5.9	0.0078740157480315	7.0	8.4
194365	Cereals and potatoes	Breakfast cereals	21.81818181818182	a	59.3	7.7	41.48648648648649	9.9	1.2	0.0039370078740157	10.7	9.2
194367			27.272727272727273	b			45.432432432432435	20.6	0.9	0.02	7.3	7.9
194369	Cereals and potatoes	Breakfast cereals	38.18181818181818	c	64.0	15.8	50.432432432432435	22.0	2.8	0.006	8.0	7.6
194370	Cereals and potatoes	Breakfast cereals	45.45454545454545	c	59.2	20.0	52.86486486486487	19.1	6.4	0.0078740157480315		8.8
194371			47.27272727272727	d			54.86486486486487	21.0	7.0	0.0196850393700787	7.4	9.1
194376			41.81818181818182	c			48.972972972972975	24.0	3.4	0.0078740157480315	5.2	6.9
194377	Cereals and potatoes	Breakfast cereals	25.454545454545457	a	64.0	8.6	43.18918918918919	13.3	3.6	0.0118110236220472	5.7	9.2
194379			40.0	c			45.5945945945946	20.3	3.4	0.0118110236220472	7.1	9.3
